word term ,original meaning ,novel meaning,情緒向度
衛羊,na,太陽花學運領導人魏揚諧音,neutral 
戴森,品牌名,因被佔領立法院學生要求捐贈該品牌醫療級空氣清淨機而帶有諷刺語意,negative
仁醫,關愛他人至深的醫生,對台南市長賴清德的美稱,positive 
僵屍,形如死人而能夠活動的怪物,形容事勿悖於常理卻被合理化,negative
紫爆,na,指PTT版上人數眾多,positive
餵羊,餵食羊群,太陽花學運領導人魏揚諧音,neutral
淺藍,淡藍色,國民黨的邊緣支持者,neutral
違停,違規停車,太陽花學運領導人陳為廷諧音,neutral 
非凡,非比尋常,太陽花學運領導人林飛帆諧音,neutral
福懋,企業品牌名,服貿諧音,neutral 
馬卡茸,na,對馬英九的貶稱,negative
瘋吱谷,na,指立場偏向綠營的群眾,negative
野草莓,野生的草莓,為抗議第二次江陳會談的靜坐學生運動,neutral
割闌尾,切除闌尾的外科手術,罷免立法委員之意,neutral
太陽花,向日葵,318學運象徵物，表照亮黑箱服貿、照亮民主,positive
大腸花,na,指太陽花學運，因字型相近而來,neutral
鐵吱肛,na,諷刺正式傾向偏綠群眾的代稱,negative
金皮糖,na,對王金平的貶稱,negative
三熊圖,na,鄉民使用圖像來說故事，通常以三隻熊作為主角,neutral
反黑箱,na,反對服貿協議黑箱作業,negative
微革命,na,指利用微小的力量以慢慢顛覆現狀,neutral
青年軍,na,投入政治活動的年輕人,neutral
太陽餅,圓形的甜餡薄餅,對蕭家淇的諷刺用語,negative
吃香蕉,食用香蕉,諷刺邱毅將太陽花看成香蕉或用以諷刺綠營鄉民(吱吱),negative
歐克麵,na,PTT中善於製作BBS動畫的名人之一,neutral
假家長,na,反反服貿民眾假裝為反服貿學生的家長要求學生撤離,neutral
假女兒,na,反反服貿民眾假裝為反服貿學生的女兒要求學生撤離,neutral
洋天朝,na,泛指西方政黨，對比於「土天朝」,neutral
黃戰神,na,對黃國昌的美稱,positive 
歐羅肥,豬飼料品牌,幫連勝文灌民調(餵食)之意,negative
綠衛兵,na,泛指擁護綠營的群眾,neutral
顏色正確,na,指政黨傾向和文章一致,neutral
黑箱服貿,na,指兩岸服貿協議為黑箱作業,negative
唯一支持,僅支持特定人物,唯一支持某政治人物在ptt上其實為諷刺用語,negative
小海豚旗,na,某個網站票選台灣國旗，小海豚圖案的國旗為第一名,neutral
黑色島國,na,指陷入黑暗時期的台灣,neutral
青年陣線,na,指具有同樣理想站在同一陣線的年輕人,neutral
成人童話,na,將學運事件比喻成成年人的童話故事,neutral
非凡大帝,na,對學運領導人林飛帆的美稱,positive
非凡公子,na,對學運領導人林飛帆的別稱,neutral
白色正義,na,社會運動團體，後來政治立場傾向泛藍,neutral
植物人包,na,對比於懶人包，比懶人還要更懶的事件概要,neutral
反黑箱服貿,na,反對兩岸服貿黑箱作業,neutral
成人鬼故事,na,對比於成人童話，用以諷刺學運事件,negative
吱吱吱吱吱,na,諷刺正式傾向偏綠群眾的代稱,negative
反服貿運動,na,反對兩岸服貿黑箱作業的學生運動,neutral
太陽花學運,na,指反對兩岸服貿協議的學生運動，以太陽花為主題而得名,neutral
無限期支持,永遠支持特定人物,無限期支持某政治人物在ptt上其實為諷刺用語,negative
憂國騎士團,動畫<銀河英雄傳說>中的極端組織,針對對於政治議題過於熱衷的群眾的貶稱,megative
島國青年陣線,na,太陽花學運團體,neutral
黑色島國青年,na,指在陷入黑暗時期的台灣中具有熱枕的年輕人,neutral
白色正義聯盟,na,社會運動團體，後來政治立場傾向泛藍,neutral
自己國家自己救,na,太陽花學運口號，後來變成特定的口號格式,neutral
自己的國家自己救,na,太陽花學運口號，後來變成特定的口號格式,neutral 
黑色島國青年陣線,na,太陽花學運團體，又稱黑島青,neutral
